"nama","waktu","ulasan"
"Army 25","3 bulan lalu","Seru banget main kesini walaupun di cuca ujan gini. Disana tersedia jas ujan harga 2K aja. Sangat membantu"
"Fasma Siti","3 bulan lalu",""
"Adnan Kashogi","3 bulan lalu",""
"Robi Sidiq","3 bulan lalu",""
"Adisti Artamevia","3 bulan lalu",""
"damn GUY","3 bulan lalu","Bagus,cukup menghibur buat anak-anak"
"Asmul Mulyana","3 bulan lalu",""
"Mamah Cantik","3 bulan lalu","Sangat puas 👍 …"
"Tarma 82","3 bulan lalu","Tempat wisata keluarga kebun binatang mini dan banyak wahana bagus"
"Rahmat Setiawan","3 bulan lalu","Seru buat dating, apalagi kalau hujan haha"
"RISKA EKA SANDITYA","3 bulan lalu",""
"erfan rasyid","3 bulan lalu",""
"Ikhwan Maulana","3 bulan lalu",""
"Rizqika Ayu Latifani","3 bulan lalu",""
"Ridha Indah F","3 bulan lalu","Bagus sekali walaupun hewan2 tdk terlalu banyak tapi aksesnya mudah dijangkau. Banyak toilet. Toiletnya bersih, masjidnya bersih, banyak tempat istirahat. Harga jajanan standar."
"Danu Syahputra","3 bulan lalu",""
"Umi Latifah","3 bulan lalu",""
"Alan Dimas Sardi","3 bulan lalu",""
"045 Yoranitha Maylani","3 bulan lalu","Rekomendasi bngt tempatnya enak bersih nyaman, kalo hujan udah disediaan payung banyak"
"evi soviani","3 bulan lalu",""
"sj indo print","3 bulan lalu",""
"Sandi Putra Utama","3 bulan lalu","Baru pertama kali ke zoo lembang gila sih keren habis hewan nya cukup lengkap zoodate bagus nih apalagi sama keluarga Lembang Park and Zoo juga punya tempat-tempat bermain untuk anak-anak, dari Playground outdoor, Kereta Mini, Storyland …"
"iskandar zulkarnain","3 bulan lalu","Tempatnya bagus, nanti akan di kunjungi lagi, semoga yang unta” itu cepet jadi"
"Adulz Devilbats","3 bulan lalu","saya suka"
"ADITYA SAPUTRA","3 bulan lalu",""
"3rFan “erfan” saleh","3 bulan lalu",""
"Akhmad Yusuf","3 bulan lalu",""
"Rani Nkh","3 bulan lalu","banyak binatangnya, seru tp panas"
"Wiji Anjasmoro Kustiohadi","3 bulan lalu",""
"Ferry Cattle","3 bulan lalu","Lumayan buat ngajak main anak mengenal binatang"" hanya saja toiletnya di perbanyak di setiap titik jadi ga jauh kalo mau ke toilet"
"Nandra Chairunisa","3 bulan lalu",""
"Fitri Diani","3 bulan lalu",""
"Nopi Opi","3 bulan lalu","Tempatnya bersih, binatangnya lumayan banyak. Cuma kalo ada mainannya buat anak2 mungkin lebih bagus"
"Irwin syah","3 bulan lalu","Favorit anak kalo lg main ke bandung, pasti langsung kesini, gabosen bosen selalu ada yg baru, padahal udah 7x kesini"
"feri naldi","3 bulan lalu",""
"arsyila Arsyila","3 bulan lalu",""
"Putri 123","3 bulan lalu",""
"Darojat Ulil Amri","3 bulan lalu",""
"Agus Wasinton H Panjaitan","3 bulan lalu",""
"Ardy Syaeful Hidayat","3 bulan lalu",""
"Imam Nurhadi","3 bulan lalu","1 Nov 2024
Tempat yang wajib banget dikunjungi kalo ke Bandung, sekarang hewannya makin variatif dan areannya makin luas, yang terbaru ada taman satwa, jadi konsepnya …"
"DadyAlfariz13","3 bulan lalu",""
"Risti Kurnia","3 bulan lalu","Tempat wisata di lembang, harga tiket masuk 80K di hari libur, disarankan kesini pagi, jadi bisa dapat explore banyak. Sangat worth it, pengunjung di beri peta, dan bebas explore. Ada burung, reptil, mamalia, pertunjungan teater, naik mobil …"
"Udjianto Uji","3 bulan lalu",""
"washudi 70","3 bulan lalu","Lengkonya enak pas di lidah."
